,recipe_name,cuisine_diet
586,Anglo-Indian Mince Ball Curry,anglo-indian non-vegetarian
587,Veg kurma with coconut,indian kid-friendly
588,Aloo Ka Achar,indian vegetarian
589,Apple Cinnamon Jam,indian kid-friendly
590,Ragi roti,indian vegetarian
591,Karivepilai Chutney,indian vegetarian
592,Apple chutney,indian vegetarian
593,Drumstick Curry,indian non-vegetarian
594,American Fruit Salad,american vegetarian
595,Crab masala,indian non-vegetarian
596,Fig ice cream for Kids,indian kid-friendly
597,Chilled Mango and Peach Cream,continental vegetarian
598,Indian Prawn vindaloo,indian non-vegetarian
599,Apple Sauce Cake,american kid-friendly
600,Onion Curry with coconut,indian vegetarian
601,Simple eggplant curry,indian kid-friendly
602,Anglo-Indian Brinjal Curry,anglo-indian vegetarian
603,Indian Mushroom soup,indian vegetarian
604,Tangy Cabbage Vada with coconut,indian kid-friendly
605,Eggnog,english festive
606,Apple Halwa with Dry Fruits,indian festive
607,Andhra Chicken Fry,indian non-vegetarian
608,Alu-Poha Chatpata,indian vegetarian
609,Almond Flavored Carrot Burfi,indian festive
610,American Rolls,american non-vegetarian
611,Indian Dalsa,indian vegetarian
612,Aamras,indian vegetarian
613,Aloo Mutter with tomatoes,indian vegetarian
614,Arayes,lebanese non-vegetarian
615,Aloo Methi,indian kid-friendly
616,Arisi Payaru Sundal,indian high-protein
617,Aloo Poori,indian vegetarian
618,Apple and Apricot Pudding,english kid-friendly
619,Jackfruit halwa for Kids,indian kid-friendly
